Keyword,NScore
tecnica,9.756095131281157
incluir,9.563977754701835
aprenderar,8.673715608644647
cubrir,7.99191647073835
concepto,7.904789244989486
proyecto,6.885567842050687
tema,6.734127943353396
explorar,6.607462419585835
desarrollar,6.489935456491093
aplicacion,6.056816649568333
habilidad,5.054182431841526
avanzado,4.731393409999917
enfocar,4.689341119906005
aplicar,4.635203685845039
analisis,4.432914303705012
practico,4.308180970960332
gestion,4.151652848828919
arte,4.051216394246828
teoria,3.6449584041910734
problema,3.3066463387242884
principio,3.255617571997061
introducir,3.097177439898079
abordar,2.9824066495374257
fundamental,2.5369784824393795
creacion,2.4084162426771876
proporcionar,2.40046076207728
herramienta,2.104279638106474
practica,2.10020633986858
desarrollo,1.8966647705720245
real,1.7862356135375415
sistema,1.5774370431637001
estudiantes,1.4976305265923031
empresarial,1.4548503595937554
artistico,1.444300899160246
estudio,1.4312065396196865
estudiar,1.4230801713913097
espacio,1.3792275846391777
diseno,1.3398248992922124
aprendizaje,1.2681532837896234
tambien,1.2062341714556983
laboratorio,1.2025171728899373
dato,1.1200876496247634
mas,0.9687366385625646
enfoque,0.9052425725977012
trabajar,0.8914285730427247
analizar,0.8692741224259488
planificacion,0.8677950907144001
presentacion,0.7758517907548003
uso,0.7390450998893068
entorno,0.7213692730755662
mejorar,0.7105618249867324
campo,0.5916770960245415
produccion,0.5754472224908025
diverso,0.5091804089892443
complejo,0.49560877020504807
area,0.4817125783405344
diferente,0.46484015245485
programacion,0.4251690928186178
educativo,0.3916570229890463
decision,0.36835388933246455
practicar,0.35180633965212654
aplicado,0.35014572297830443
estructura,0.3213958620242212
aprender,0.2427557952440731
matematica,0.1885419720441718
estrategia,0.0824850564432719
caso,0.0805756743305843
crear,0.0643218680963957
basico,0.0305127194882571
social,0.021125681008734097
evaluacion,0.008229452147189101
conocimiento,0.0027587465100015
disenar,0.0025700531625625
ingenieria,0.0022562208254024
integral,0.0
