Keyword,Score,NScore
learn,84,1.0
include,67,0.7605633802816902
technique,65,0.7323943661971831
cover,61,0.676056338028169
apply,51,0.5352112676056339
focus,51,0.5352112676056339
develop,50,0.5211267605633804
concept,47,0.47887323943661975
project,46,0.46478873239436624
explore,43,0.4225352112676056
study,43,0.4225352112676056
topic,39,0.3661971830985916
skill,39,0.3661971830985916
analysis,37,0.3380281690140845
practical,36,0.323943661971831
management,35,0.3098591549295775
application,35,0.3098591549295775
design,35,0.3098591549295775
advanced,32,0.2676056338028169
fundamental,29,0.22535211267605634
provide,29,0.22535211267605634
theory,29,0.22535211267605634
principle,28,0.21126760563380284
problem,27,0.19718309859154928
art,27,0.19718309859154928
introduce,26,0.18309859154929578
business,25,0.16901408450704228
work,23,0.14084507042253522
real,22,0.12676056338028172
system,22,0.12676056338028172
basic,22,0.12676056338028172
tool,21,0.11267605633802816
create,20,0.09859154929577466
field,20,0.09859154929577466
process,19,0.08450704225352115
use,19,0.08450704225352115
different,18,0.0704225352112676
space,17,0.05633802816901409
address,17,0.05633802816901409
learning,17,0.05633802816901409
educational,17,0.05633802816901409
development,16,0.04225352112676056
plan,16,0.04225352112676056
case,16,0.04225352112676056
teaching,16,0.04225352112676056
environment,15,0.028169014084507032
teach,15,0.028169014084507032
hand,15,0.028169014084507032
practice,15,0.028169014084507032
presentation,15,0.028169014084507032
emphasis,15,0.028169014084507032
improve,15,0.028169014084507032
knowledge,15,0.028169014084507032
structure,14,0.01408450704225353
planning,14,0.01408450704225353
strategy,14,0.01408450704225353
production,14,0.01408450704225353
solve,14,0.01408450704225353
creation,14,0.01408450704225353
critical,14,0.01408450704225353
complex,14,0.01408450704225353
allow,14,0.01408450704225353
area,14,0.01408450704225353
programming,14,0.01408450704225353
decision,13,0.0
current,13,0.0
social,13,0.0
laboratory,13,0.0
