Keyword,NScore
learn,9.919382345070412
technique,9.260401117636306
cover,8.34567951828476
include,7.9073858357409765
focus,7.7087565346492175
develop,6.429382169099105
concept,6.402615800910462
apply,6.309843776471223
project,6.059000035573129
explore,5.668290685204909
art,5.077801671385441
topic,4.959434984950935
application,4.686469349547145
skill,4.668099891026351
study,4.567036824435146
analysis,4.2453168755004524
advanced,4.000751972194998
management,3.939606125013928
practical,3.8711666279376513
design,3.6527816034473313
fundamental,3.6259190311306284
provide,3.299116194158598
introduce,3.2377586845538713
theory,3.2205120083003838
business,3.213709175247495
principle,3.1627070257296204
problem,2.8002537656760516
work,2.1805720306756333
basic,2.0869073034072496
tool,1.8566898410992398
artistic,1.64906882135173
real,1.5960847013186776
create,1.4933466373727522
field,1.323417828154903
space,1.3069417258956118
use,1.2429885247945547
system,1.1295525817594059
process,0.9989777725249588
creation,0.8985385132864104
different,0.8674050268209982
learning,0.6310406069230939
complex,0.5939591997103923
educational,0.5761407669662054
area,0.5639400714908138
production,0.5597495901022839
structure,0.5124336189496793
practice,0.5055744962698391
development,0.49464487405866425
solve,0.4875484466370965
teach,0.48059503632284895
address,0.48007166878923163
decision,0.4781674395715299
plan,0.3977533036915419
planning,0.3959502304481133
mathematic,0.3721506938900881
environment,0.36511704201054856
presentation,0.34808728657946125
critical,0.2778899394358409
programming,0.26341936889934453
teaching,0.2612478265180234
strategy,0.211128528386426
hand,0.20677753303374338
improve,0.19184884748421416
emphasis,0.177776370413987
allow,0.16172135220671532
knowledge,0.1126255989533518
case,0.1055713429533966
social,0.0680329537403371
current,0.0165887602896059
contemporary,0.008834344816070601
science,0.0083067760725614
laboratory,0.0072383588810175994
prepare,0.0023407384789524
engineering,0.0012839551285836
control,0.0
